"","CustomerID","mean","sum","n"
"1",12347,23.6813186813187,4310,182
"2",12348,53.2311111111111,1437.24,27
"3",12349,20.24375,1457.55,72
"4",12350,18.4,294.4,16
"5",12352,15.0644047619048,1265.41,84
"6",12353,22.25,89,4
"7",12354,18.6103448275862,1079.4,58
"8",12355,35.3384615384615,459.4,13
"9",12356,42.886724137931,2487.43,58
"10",12357,47.3867938931298,6207.67,131
"11",12358,54.5917647058824,928.06,17
"12",12359,24.5887007874016,6245.53,254
"13",12360,18.2703174603175,2302.06,126
"14",12361,19.4333333333333,174.9,9
"15",12362,17.6726515151515,4665.58,264
"16",12363,24,552,23
"17",12364,14.9148148148148,1208.1,81
"18",12365,15.2709523809524,320.69,21
"19",12367,15.09,150.9,10
"20",12370,20.636686746988,3425.69,166
"21",12371,24.6445161290323,1527.96,62
"22",12372,24.4089795918367,1196.04,49
"23",12373,24.9692307692308,324.6,13
"24",12374,19.4665625,622.93,32
"25",12375,23.46375,375.42,16
"26",12377,20.37,1548.12,76
"27",12378,18.304200913242,4008.62,219
"28",12379,19.8792307692308,775.29,39
"29",12380,23.9956435643564,2423.56,101
"30",12381,16.6681395348837,1433.46,86
"31",12383,17.0243157894737,1617.31,95
"32",12384,14.5057142857143,406.16,28
"33",12386,40.19,401.9,10
"34",12388,27.8066,2780.66,100
"35",12390,16.2851612903226,504.84,31
"36",12391,4.6089,460.89,100
"37",12393,24.728125,1582.6,64
"38",12394,43.2192,1080.48,25
"39",12395,18.1107482993197,2662.28,147
"40",12397,17.8620967741935,2214.9,124
"41",12398,17.0911904761905,1435.66,84
"42",12399,18.7936363636364,1033.65,55
"43",12401,17.325,69.3,4
"44",12402,19.56,195.6,10
"45",12403,97.925,391.7,4
"46",12405,26.2337735849057,1390.39,53
"47",12406,30.3773148148148,3280.75,108
"48",12407,20.9322222222222,1507.12,72
"49",12408,23.9589814814815,2587.57,108
"50",12409,96.9906140350877,11056.93,114
"51",12410,19.2992592592593,521.08,27
"52",12412,19.7048275862069,1142.88,58
"53",12413,18.2743243243243,676.15,37
"54",12414,29.494,442.41,15
"55",12415,159.739250645995,123638.18,774
"56",12417,16.6973544973545,3155.8,189
"57",12418,19.6641176470588,668.58,34
"58",12420,20.7031034482759,600.39,29
"59",12421,15.5863414634146,639.04,41
"60",12422,17.9884210526316,683.56,38
"61",12423,13.7636440677966,1624.11,118
"62",12424,58.6986666666667,1760.96,30
"63",12425,21.5888888888889,777.2,36
"64",12426,17.6113793103448,510.73,29
"65",12427,18.1990625,582.37,32
"66",12428,21.8013698630137,6366,292
"67",12429,36.0468085106383,3388.4,94
"68",12430,21.64,216.4,10
"69",12431,26.6303375527426,6311.39,237
"70",12432,40.741308411215,4359.32,107
"71",12433,31.8473095238095,13375.87,420
"72",12434,14.1701851851852,765.19,54
"73",12435,217.496944444444,7829.89,36
"74",12436,28.6006666666667,429.01,15
"75",12437,23.7441081081081,4392.66,185
"76",12438,25.6963541666667,2466.85,96
"77",12441,15.555,155.55,10
"78",12442,13.0963636363636,144.06,11
"79",12444,23.7526744186047,4085.46,172
"80",12445,25.8,77.4,3
"81",12446,17.5843859649123,1002.31,57
"82",12447,17.2596,431.49,25
"83",12448,17.402380952381,365.45,21
"84",12449,19.2314973262032,3596.29,187
"85",12450,24.735,197.88,8
"86",12451,25.1229378531073,8893.52,354
"87",12452,17.4285,348.57,20
"88",12453,16.4439534883721,707.09,43
"89",12454,0,0,30
"90",12455,27.5277647058824,2339.86,85
"91",12456,20.2689682539683,2553.89,126
"92",12457,24.9653125,1597.78,64
"93",12458,21.8722222222222,787.4,36
"94",12461,18.4376470588235,626.88,34
"95",12462,12.4572857142857,872.01,70
"96",12463,14.043734939759,1165.63,83
"97",12464,43.5022727272727,957.05,22
"98",12465,13.7528571428571,673.89,49
"99",12468,17.1589473684211,652.04,38
"100",12471,32.1393320235756,16358.92,509
"101",12472,14.9101041666667,5725.48,384
"102",12473,15.2129166666667,2555.77,168
"103",12474,14.7085487528345,6486.47,441
"104",12475,19.1251428571429,669.38,35
"105",12476,22.072862745098,5628.58,255
"106",12477,42.5876948051948,13117.01,308
"107",12478,15.5997142857143,545.99,35
"108",12479,12.45,423.3,34
"109",12480,19.2375333333333,2885.63,150
"110",12481,23.8802857142857,5014.86,210
